taxonkey
600006
600080
600081
600084
600088
600089
600107
600111
600114
600145
600148
600186
600187
600201
600217
600363
600364
600399
600412
600419
600556
600637
600752
600753
600858
600861
600868
600875
600877
600880
600886
600898
600912
600914
600917
600918
600920
600950
600988
600993
601007
601072
601235
601265
601288
601370
601385
601407
601457
601501
601832
601843
601845
601846
601848
601850
601851
601863
601864
601909
601912
601916
601917
601924
601936
602535
604451
604456
604458
604465
604611
604614
604615
604821
604824
605348
605368
605555
605734
605805
606358
606441
606454
607354
607372
607430
607699
612288
690189
690228
690341
690383
690790
690791
690801
690802
690819
690883
690906
