taxon_key,taxon_name,common_name,genus,species,will_run
607430,Plectropomus pessuliferus,Roving coralgrouper,Plectropomus,pessuliferus,Yes
607699,Gerres longirostris,Strongspine silver-biddy,Gerres,longirostris,No
612288,Plagiogeneion rubiginosum,Rubyfish,Plagiogeneion,rubiginosum,No
690189,Fenneropenaeus indicus,Indian white prawn,Fenneropenaeus,indicus,Yes
690228,Panulirus longipes,Longlegged spiny lobster,Panulirus,longipes,Yes
690341,Panulirus homarus,Scalloped spiny lobster,Panulirus,homarus,Yes
690383,Metapenaeus monoceros,Speckled shrimp,Metapenaeus,monoceros,Yes
690790,Holothuria atra,Lollyfish,Holothuria,atra,No
690791,Holothuria edulis,Pinkfish,Holothuria,edulis,No
690801,Panulirus penicillatus,Pronghorn spiny lobster,Panulirus,penicillatus,No
690802,Panulirus versicolor,Painted spiny lobster,Panulirus,versicolor,No
690819,Bohadschia marmorata,Chalky cucumber,Bohadschia,marmorata,No
690883,Ranina ranina,Kona crab,Ranina,ranina,No
690906,Octopus cyanea,Big blue octopus,Octopus,cyanea,No
